candidate_id,Self Awareness (Final),Parts Completed,Overall Score,Location,Years of Experience,Gender,Chart Interpretation score,Chart Interpretation Self Rating,Data Literacy score,Data Literacy Self Rating,Reports & Visualisations score,Reports & Visualisations Self Rating,SQL score,SQL Self Rating,Business Acumen score,Business Acumen Self Rating,wordCount,BOW_business_acumen,BOW_chart_intepretation,BOW_data_literacy,BOW_reports_visualisation,BOW_sql,ATS_noweight,ATS_weighted,QS_rank,Highest Degree Level,Highest level of company position
26924,-3.9126,3,4.7,4,8,0,7.619,10,6.818,9,5,7,,8,,5,518,0.005791506,0,0,0.001930502,0.001930502,0.5,0.625,189,1,1
26927,-5.2468,3,2.5,3,1,0,2.857,7,5.909,7,,7,,7,,7,160,0,0,0.01875,0.00625,0.00625,0.2625,0.3625,0,1,
26928,-2.7984,3,4.3,2,5,0,6.19,7,6.818,5,5,6,,6,,8,355,0.005633803,0.002816901,0,0.002816901,0,0.45,0.55,0,1,1
26930,-8.987,3,1.4,3,3,0,1.429,10,3.636,10,,10,,10,,10,776,0.012886598,0.00128866,0.006443299,0.003865979,0.015463918,0.3875,0.4875,198,1,1
26931,-8.355,3,0.9,1,16,1,0.952,10,2.273,10,,9,,6,,10,1103,0.011786038,0.001813237,0,0.000906618,0.001813237,0.325,0.425,0,0,2
26937,-4.716,3,4.7,4,10,0,5.238,10,8.182,8,7,9,,8,,9,745,0.010738255,0,0.002684564,0.004026846,0,0.55,0.7,116,1,2
26939,-4.1108,3,3.8,2,10,0,3.81,8,8.636,7,2,8,,4,,8,850,0.007058824,0.001176471,0.001176471,0.001176471,0,0.4875,0.6375,0,1,2
26940,-5.097,3,2.1,1,10,1,3.333,6,3.182,7,2,7,,7,,7,1137,0.009674582,0.000879507,0,0,0.000879507,0.3375,0.4125,531,0,1
26948,-3.2874,3,1.6,1,14,0,2.381,5,3.182,5,,5,,1,,6,562,0.033807829,0,0,0,0,0.175,0.2,801,1,2
26952,-0.529,3,2.6,1,10,1,3.81,3,4.545,3,2,3,,1,,3,577,0.010398614,0.005199307,0,0.001733102,0.001733102,0.3375,0.4125,0,0,1
26957,-6.4832,3,1.8,1,11,0,2.857,8,2.727,8,2,8,,7,,9,1378,0.017416546,0.000725689,0.000725689,0.001451379,0.002177068,0.325,0.425,0,0,1
26959,-6.1272,3,0.4,1,12,0,,6,1.364,9,,7,,3,,7,897,0.005574136,0,0,0.002229654,0.002229654,0.275,0.35,0,1,1
26963,-8.2,3,0,1,8,1,,8,,9,,9,,8,,7,379,0.013192612,0,0,0,0,0.3875,0.4875,801,2,1
26964,-5.303,3,4.1,1,8,0,6.667,9,6.818,9,2,8,,7,,9,866,0,0,0,0,0,0.1125,0.1375,0,0,2
26968,-7,3,0,1,10,0,,9,,7,,8,,3,,8,542,0.018450185,0,0.001845018,0,0,0.275,0.35,1001,1,2
26977,-7.155,3,1.6,2,10,0,0.952,9,2.273,9,5,9,,8,,9,1059,0.012275732,0.001888574,0,0.000944287,0,0.275,0.35,1001,0,3
26978,-5.4832,3,2.5,1,15,1,2.857,8,2.727,8,7,8,,7,,9,1258,0.023052464,0,0,0.000794913,0,0.325,0.425,38,2,1
26985,-0.8294,3,6.4,2,8,0,9.048,8,9.091,9,6,8,,1,5.714,8,364,0.010989011,0,0,0.005494505,0,0.375,0.5,128,1,2
26994,-7.3272,3,0.8,1,4,0,,10,1.364,8,3,8,,5,,10,469,0.006396588,0,0,0.002132196,0.002132196,0.275,0.35,0,0,0
26995,-7.5142,3,1.8,1,12,0,1.429,10,5,10,,10,,4,,10,843,0.014234875,0,0,0,0,0.275,0.35,314,1,1
26996,-6.7454,3,0.7,1,12,1,,9,2.273,8,,8,,3,,8,958,0.029227557,0,0,0.001043841,0,0.325,0.425,601,1,2
27007,-4.7506,3,2.9,1,11,1,1.429,9,6.818,7,4,9,,4,,7,861,0.015098722,0.004645761,0.003484321,0.005807201,0.006968641,0.375,0.5,801,1,
27010,-4.0078,3,4.9,1,8,0,7.143,9,6.818,9,7,9,,7,,7,885,0.011299435,0,0,0.001129944,0.006779661,0.4,0.475,0,0,2
27013,-4.6918,3,1.6,1,6,0,1.905,7,3.636,5,,6,,4,,7,1119,0.014298481,0.000893655,0.000893655,0,0.00536193,0.425,0.575,0,1,2
27015,-2.4,3,0,1,3,0,,2,,2,,1,,1,,6,445,0.029213483,0.002247191,0,0,0,0.175,0.2,0,0,1
27018,-4.6208,3,4.2,2,11,0,5.714,9,8.182,7,2,8,,7,,8,1517,0.018457482,0.001318392,0,0.001977587,0.001977587,0.425,0.575,203,1,1
27024,-7.0882,3,1.8,1,10,0,4.286,10,2.273,8,,10,,6,,8,1239,0.01291364,0.000807103,0,0.002421308,0.004035513,0.4375,0.5625,0,1,1
27025,-6.2926,3,3.6,1,8,1,3.81,9,7.727,10,2,10,,7,,9,1474,0.008819539,0.014925373,0.000678426,0.00339213,0.006784261,0.5125,0.6125,0,,2
27026,-2.2,3,5.9,1,9,0,7.143,8,10,7,6,7,,7,2.857,8,296,0.006756757,0,0,0,0.003378378,0.55,0.7,0,1,2
27032,-5.7636,3,0.9,1,9,0,,8,3.182,7,,8,,2,,7,689,0.010159652,0,0,0,0.001451379,0.225,0.275,0,1,1
27033,-3.6728,3,1.1,1,16,0,,3,3.636,3,,3,,5,,8,1956,0.010736196,0,0,0,0.005623722,0.5625,0.6875,0,0,2
27036,-2.1698,3,3.2,1,0,0,3.333,5,6.818,5,2,5,,5,,3,204,0.024509804,0,0,0.004901961,0.009803922,0.325,0.425,0,0,0
27037,-6.4874,3,2.2,1,9,0,2.381,8,3.182,9,5,8,,9,,9,1164,0.004295533,0.003436426,0.00257732,0.000859107,0.005154639,0.3375,0.4125,751,0,1
27038,-7.7454,3,0.7,1,11,0,,9,2.273,8,,9,,6,,9,786,0.031806616,0.001272265,0,0,0,0.2875,0.3375,419,1,2
27040,-7.1652,3,1.8,4,5,1,3.81,10,1.364,7,3,10,,8,,9,568,0,0,0,0,0,0.175,0.2,0,0,1
27041,-5.7428,3,2.9,2,3,0,4.286,8,5,9,2,8,,9,,6,473,0.021141649,0.00422833,0,0.00422833,0,0.4875,0.6375,239,1,1
27043,-5.1566,3,3.2,2,4,0,4.762,8,5.455,7,2,8,,7,,8,459,0.002178649,0,0,0.006535948,0.002178649,0.3875,0.4875,0,1,1
27048,-7.987,3,1.7,1,3,1,1.429,10,3.636,10,2,10,,7,,10,327,0.021406728,0,0.006116208,0,0,0.225,0.275,244,0,0
27051,-6.1506,3,2.4,1,4,0,1.429,7,6.818,8,,8,,8,,8,848,0.010613208,0.001179245,0.003537736,0.005896226,0.011792453,0.425,0.575,0,0,1
27052,-6.091,3,1.7,1,12,1,,9,4.545,7,3,8,,6,,8,872,0.016055046,0,0.003440367,0,0.003440367,0.4375,0.5625,1001,1,3
27054,-8.8596,3,1.1,1,4,0,1.429,10,2.273,9,,10,,9,,10,522,0.026819923,0,0,0.003831418,0,0.275,0.35,0,0,2
27055,-5.6728,3,1.7,1,1,1,,7,3.636,8,5,7,,7,,8,362,0.008287293,0,0,0.002762431,0,0.275,0.35,581,0,0
27059,-5.8728,3,1.1,1,5,0,,8,3.636,8,,8,,1,,8,844,0.008293839,0,0,0.002369668,0.002369668,0.375,0.5,149,1,1
27060,-5.1334,3,2.9,2,10,0,3.333,8,5,8,4,8,,4,,10,873,0.008018328,0.001145475,0.002290951,0,0.003436426,0.675,0.825,8,3,1
27064,-4.9272,3,0.4,1,15,0,,5,1.364,5,,5,,5,,6,840,0.021428571,0.001190476,0,0,0,0.3375,0.4125,801,0,2
27066,-5.5454,3,2.1,1,12,0,,8,7.273,8,,8,,4,,7,1033,0.011616651,0.000968054,0,0.002904163,0.003872217,0.4875,0.6375,0,1,1
27067,-3.084,3,3.7,1,6,1,4.762,7,6.818,6,3,5,,5,,7,621,0.00805153,0.001610306,0,0.003220612,0.004830918,0.3875,0.4875,701,1,1
