,Have CV,ID,Location,Date Invited,Date Started,Date Completed,Parts Completed,Overall Score,Chart Interpretation score,Chart Interpretation Self Rating,Business Acumen score,Business Acumen Self Rating,Reports & Visualisations score,Reports & Visualisations Self Rating,SQL score,SQL Self Rating,Data Literacy score,Data Literacy Self Rating
0,1.0,27318,Brazil,2021-08-30 20:24:12,2021-09-02 09:50:41,2021-09-02 10:47:17,3,8.7,8.571,8.0,4.286,6.0,9.0,7.0,8.75,10.0,10.0,9.0
1,1.0,27613,India,2021-09-02 20:35:14,2021-09-06 21:12:52,2021-09-06 22:13:37,3,8.4,9.048,10.0,8.571,9.0,8.0,9.0,7.5,8.0,8.636,10.0
2,1.0,28057,South Africa,2021-09-07 14:31:40,2021-09-08 04:01:36,2021-09-08 04:53:03,3,8.0,7.619,8.0,4.286,8.0,9.0,8.0,9.375,8.0,8.181999999999999,8.0
3,1.0,28257,Iran,2021-09-09 15:21:08,2021-09-12 17:45:58,2021-09-12 19:11:26,3,8.0,10.0,9.0,8.571,8.0,6.0,9.0,5.0,7.0,9.091,10.0
4,1.0,27223,Malta,2021-08-29 11:05:22,2021-08-29 23:46:52,2021-08-30 00:34:05,3,7.9,8.095,9.0,8.571,9.0,9.0,9.0,3.75,9.0,10.0,9.0
5,1.0,29274,France,2021-09-17 14:10:02,2021-09-17 21:25:16,2021-09-17 22:19:18,3,7.800000000000001,9.048,9.0,8.571,8.0,8.0,9.0,6.875,8.0,6.8180000000000005,9.0
6,1.0,28593,India,2021-09-13 13:40:18,2021-09-14 11:56:47,2021-09-14 12:43:39,3,7.199999999999999,7.143000000000001,6.0,5.714,6.0,5.0,7.0,8.75,7.0,7.726999999999999,7.0
7,1.0,28498,Germany,2021-09-11 15:26:07,2021-09-14 23:15:02,2021-09-14 23:57:51,3,7.1,7.143000000000001,8.0,8.571,7.0,10.0,10.0,5.0,9.0,6.8180000000000005,9.0
8,1.0,28506,India,2021-09-11 15:26:12,2021-09-12 16:56:02,2021-09-12 18:02:59,3,7.0,4.762,8.0,7.143000000000001,7.0,6.0,8.0,7.5,8.0,9.091,7.0
9,1.0,27157,Thailand,2021-08-29 11:04:48,2021-08-29 17:29:54,2021-08-29 18:29:09,3,6.800000000000001,9.048,9.0,7.143000000000001,8.0,8.0,9.0,0.0,6.0,9.091,9.0
10,1.0,27191,Israel,2021-08-29 11:05:07,2021-08-31 19:07:21,2021-08-31 19:57:54,3,6.7,9.048,9.0,,,10.0,8.0,0.0,8.0,8.181999999999999,9.0
11,1.0,27830,Switzerland,2021-09-06 11:57:28,2021-09-07 03:12:44,2021-09-07 04:10:37,3,6.7,10.0,10.0,2.857,10.0,8.0,9.0,0.625,8.0,8.636,8.0
12,1.0,27602,Netherlands,2021-09-02 20:35:08,2021-09-02 22:02:01,2021-09-02 22:59:39,3,6.6000000000000005,7.619,8.0,4.286,8.0,9.0,8.0,0.0,3.0,10.0,8.0
13,1.0,28256,Mexico,2021-09-09 15:21:07,2021-09-13 09:39:59,2021-09-13 10:45:27,3,6.5,9.048,8.0,,,10.0,9.0,0.0,6.0,7.726999999999999,8.0
14,1.0,26985,Greece,2021-08-29 11:02:23,2021-09-02 04:03:14,2021-09-02 05:03:22,3,6.4,9.048,8.0,5.714,8.0,6.0,8.0,0.0,1.0,9.091,9.0
15,1.0,27149,United Arab Emirates,2021-08-29 11:04:43,2021-09-01 23:10:14,2021-09-02 23:30:40,3,6.4,9.048,10.0,4.286,9.0,7.0,9.0,0.0,6.0,9.091,8.0
16,1.0,27307,India,2021-08-30 20:24:05,2021-09-04 11:12:29,2021-09-04 12:06:47,3,6.4,7.619,8.0,2.857,8.0,4.0,8.0,6.25,8.0,7.726999999999999,9.0
17,1.0,28600,South Africa,2021-09-13 13:40:22,2021-09-13 21:46:18,2021-09-13 22:15:07,3,6.4,5.714,8.0,,,7.143000000000001,7.0,,,6.8180000000000005,6.0
18,1.0,27786,India,2021-09-06 11:57:02,2021-09-11 04:11:51,2021-09-11 05:12:06,3,6.3,5.714,9.0,4.286,7.0,9.0,9.0,5.625,8.0,6.8180000000000005,7.0
19,1.0,27166,Malaysia,2021-08-29 11:04:52,2021-08-30 15:39:51,2021-09-22 23:59:52,3,6.2,7.143000000000001,8.0,0.0,7.0,7.0,8.0,1.875,8.0,10.0,8.0
20,1.0,27197,Malta,2021-08-29 11:05:09,2021-08-29 16:34:26,2021-08-29 17:33:50,3,6.2,7.143000000000001,8.0,4.286,8.0,6.0,7.0,1.875,7.0,9.091,8.0
21,1.0,28119,India,2021-09-08 14:50:20,2021-09-10 02:38:48,2021-09-10 03:39:46,3,6.1,8.095,10.0,4.286,9.0,6.0,9.0,5.0,8.0,5.455,10.0
22,1.0,27026,Israel,2021-08-29 11:02:47,2021-08-31 19:13:22,2021-08-31 22:25:03,3,5.8999999999999995,7.143000000000001,8.0,2.857,8.0,6.0,7.0,0.0,7.0,10.0,7.0
23,1.0,27446,United Arab Emirates,2021-08-30 20:25:35,2021-08-30 21:59:18,2021-08-30 23:55:26,3,5.8999999999999995,7.619,8.0,1.4289999999999998,8.0,8.0,6.0,0.0,2.0,9.091,6.0
24,1.0,27340,Kenya,2021-08-30 20:24:27,2021-08-30 21:32:44,2021-08-30 22:45:33,3,5.8,7.619,9.0,2.857,9.0,8.0,8.0,0.0,6.0,8.181999999999999,8.0
25,1.0,27420,Spain,2021-08-30 20:25:20,2021-09-04 01:28:46,2021-09-04 02:10:24,3,5.8,7.143000000000001,7.0,0.0,8.0,7.0,7.0,0.0,8.0,10.0,9.0
26,1.0,27848,France,2021-09-06 11:57:38,2021-09-07 19:43:18,2021-09-08 00:35:36,3,5.8,6.667,9.0,2.857,9.0,9.0,9.0,0.0,6.0,8.636,8.0
